time_period,index,Norm_Ret_F6M,Rank_F6M
2002_1,2002_1_svg58x3u,-0.836033391,316
2002_1,2002_1_tjbiz5we,0.937399507,50
2002_1,2002_1_350x3g9k,-0.459533272,272
2002_1,2002_1_yb4w3smp,0.12413922,187
2002_1,2002_1_docmtcew,0.515413943,94
2002_1,2002_1_ypmw304u,0.086224327,192
2002_1,2002_1_c31hl7u6,-0.605650131,290
2002_1,2002_1_e2sj33s8,-0.473706555,273
2002_1,2002_1_ztomp558,-0.478837762,275
2002_1,2002_1_cm7a1jqr,0.221374598,162
2002_1,2002_1_m5co4uvu,0.220466671,163
2002_1,2002_1_t2qqiwds,0.672214331,75
2002_1,2002_1_xvhu52vh,-1.010330834,327
2002_1,2002_1_8k1eeftr,0.586284307,85
2002_1,2002_1_ksnuds85,0.926978865,51
2002_1,2002_1_hdm0hs42,0.564985277,91
2002_1,2002_1_wvimjo6y,0.08809042,191
2002_1,2002_1_4slrk1ll,-0.759433449,308
2002_1,2002_1_pknpyt4n,0.525601573,93
2002_1,2002_1_mamlqqr9,0.182544119,169
2002_1,2002_1_i1h4sz8p,-2.724335542,371
2002_1,2002_1_z42wcpxw,-0.835105245,315
2002_1,2002_1_mfyau3r2,-0.161799468,230
2002_1,2002_1_qxgzc3pr,0.672169517,76
2002_1,2002_1_n3bvg3pr,-0.483975011,278
2002_1,2002_1_89ooow3u,1.113062101,35
2002_1,2002_1_vjunn8pq,0.344725566,132
2002_1,2002_1_8qnbkhfm,-0.66282922,295
2002_1,2002_1_3g692s1k,0.112540056,188
2002_1,2002_1_09whfb4a,0.748921978,65
2002_1,2002_1_f8riexro,0.688759834,72
2002_1,2002_1_p0vfw7xo,-0.650437254,294
2002_1,2002_1_89iyu87q,0.916595045,52
2002_1,2002_1_9nlnpmb2,-0.288501467,254
2002_1,2002_1_n8x80973,-0.936058679,324
2002_1,2002_1_vl28lwbi,-0.413539368,264
2002_1,2002_1_g3vkcq8c,3.758023793,2
2002_1,2002_1_pffbdbgx,0.020283319,205
2002_1,2002_1_rj187sis,0.051765459,197
2002_1,2002_1_bb3lnl4l,-1.408304004,348
2002_1,2002_1_rrcl7kvh,0.358130691,128
2002_1,2002_1_6aahu85b,1.69015974,17
2002_1,2002_1_dhbddxzm,0.216672974,165
2002_1,2002_1_xcre26nt,-0.269603915,250
2002_1,2002_1_hmv045mi,-1.954688899,362
2002_1,2002_1_lf9dkers,0.337260673,136
2002_1,2002_1_428oc8xw,-0.508401956,280
2002_1,2002_1_v69754v5,0.152978023,178
2002_1,2002_1_yfm8myxs,0.344311873,133
2002_1,2002_1_nvhfzlw8,-1.122706128,335
2002_1,2002_1_dqoi7jnz,-2.369580401,368
2002_1,2002_1_zd3089g7,0.384331579,123
2002_1,2002_1_dy98gjri,-0.823733479,313
2002_1,2002_1_hkpx5usj,0.177760812,170
2002_1,2002_1_2wv4nlwu,0.313928523,143
2002_1,2002_1_xmjkstz1,0.768625747,63
2002_1,2002_1_xv6evdxi,0.445396275,108
2002_1,2002_1_mspf3jjc,-0.007118973,208
2002_1,2002_1_vdmr9i5z,-0.485078844,279
2002_1,2002_1_ge7w0ilh,1.722143155,15
2002_1,2002_1_qpoldt5o,-0.1524407,228
2002_1,2002_1_ex4wq9ew,-0.154683331,229
2002_1,2002_1_8k61wlat,2.255537999,9
2002_1,2002_1_2d0uevoq,1.745902367,14
2002_1,2002_1_itua0lrz,1.056679191,39
2002_1,2002_1_8t2kc6ws,0.57512581,88
2002_1,2002_1_485eotms,-1.937359015,360
2002_1,2002_1_x3s0ya0v,1.667112266,18
2002_1,2002_1_19q95xi0,0.472076364,103
2002_1,2002_1_5hdr20lc,1.281115084,26
2002_1,2002_1_84rdcx0u,-1.71125988,356
2002_1,2002_1_yzx8vpwq,0.873882383,55
2002_1,2002_1_ycvljeft,0.452342814,107
2002_1,2002_1_nw6ewter,0.430373721,113
2002_1,2002_1_pav4r6s8,-0.145623178,224
2002_1,2002_1_u6y8aoxf,1.634634902,19
2002_1,2002_1_cladxu3e,-0.681550229,298
2002_1,2002_1_xs0wd739,-0.324734327,258
2002_1,2002_1_d85n7mbc,0.305434011,147
2002_1,2002_1_16743ziz,0.351035819,129
2002_1,2002_1_670aud0o,-0.791869472,310
2002_1,2002_1_k6hvmovs,-0.412445954,263
2002_1,2002_1_m03bx2sd,-1.31424987,344
2002_1,2002_1_zgsllyxy,-0.350458868,261
2002_1,2002_1_6fweg6mj,0.623064968,78
2002_1,2002_1_pkvi5vrf,3.794003185,1
2002_1,2002_1_yrfm6chl,-1.188047671,341
2002_1,2002_1_8h6bsiwe,-0.253868768,246
2002_1,2002_1_lwpwksl7,0.72281381,67
2002_1,2002_1_tjufwnwc,-0.284156591,253
2002_1,2002_1_sricj4yb,-0.458699653,270
2002_1,2002_1_w1pc3q1p,-0.057696949,214
2002_1,2002_1_vz6v5y3k,-0.162881274,231
2002_1,2002_1_d8orw2gw,0.1442093,183
2002_1,2002_1_z4tzwx8b,2.541853226,5
2002_1,2002_1_74ekyt5r,0.33496809,138
2002_1,2002_1_n3mkcf8a,-1.678443179,354
2002_1,2002_1_r077mdmt,-0.001954608,207
2002_1,2002_1_qnk1v39h,-0.247385302,244
2002_1,2002_1_cloert34,-0.066884455,215
2002_1,2002_1_vou8kyhx,0.589467501,83
2002_1,2002_1_xmdc0d39,-0.80334585,312
2002_1,2002_1_yrruog6d,-1.149030325,337
2002_1,2002_1_riu5qltp,0.728242204,66
2002_1,2002_1_zzm12hzn,1.154144298,33
2002_1,2002_1_b72mgze5,0.442437054,109
2002_1,2002_1_px6ac3tx,-0.693873499,300
2002_1,2002_1_h303fity,0.784967639,60
2002_1,2002_1_0o976ybx,1.715925432,16
2002_1,2002_1_mtyu94n6,0.141910818,184
2002_1,2002_1_riait42i,-2.168395023,366
2002_1,2002_1_fh9qvi1f,0.236358285,160
2002_1,2002_1_q95j5cx9,-0.798332291,311
2002_1,2002_1_5h8h6bnt,-0.083444373,216
2002_1,2002_1_mzjn01z1,0.206829866,167
2002_1,2002_1_ushydbgb,-0.477772178,274
2002_1,2002_1_0qwgfsck,0.313928808,142
2002_1,2002_1_f5po7ixn,-0.483753512,277
2002_1,2002_1_8xepjuvj,3.064534808,3
2002_1,2002_1_q4ckx31d,1.096996941,36
2002_1,2002_1_2xd3cocj,0.391276976,122
2002_1,2002_1_39fzfsoo,-0.541581114,283
2002_1,2002_1_xivkzfsw,0.167773987,174
2002_1,2002_1_era2j1qn,-0.456995404,269
2002_1,2002_1_wxxyl58g,-1.757164775,357
2002_1,2002_1_is7lzras,-1.059149233,330
2002_1,2002_1_qlgapq3u,0.209273874,166
2002_1,2002_1_eubno7f6,-1.165704703,338
2002_1,2002_1_ffqb46ka,-0.431547689,267
2002_1,2002_1_abj5e0lc,-0.436367865,268
2002_1,2002_1_haq671p8,0.243479845,158
2002_1,2002_1_fkep577x,0.023091354,203
2002_1,2002_1_wt1gmuu5,1.052629457,40
2002_1,2002_1_h5hi6zfj,-0.228218012,242
2002_1,2002_1_qr6k8kcs,2.444084319,6
2002_1,2002_1_zmbriksd,0.852851569,57
2002_1,2002_1_jtqlxd5z,-0.924666267,322
2002_1,2002_1_vsm95k3e,-0.325031229,259
2002_1,2002_1_2ystw75f,-0.670089978,297
2002_1,2002_1_fk6jc5p5,1.297100845,25
2002_1,2002_1_9mmftqyu,2.26771503,7
2002_1,2002_1_eoetyue2,-1.307345813,342
2002_1,2002_1_id389c6i,-0.217574444,240
2002_1,2002_1_7n6d3eto,0.884926943,54
2002_1,2002_1_aitokl89,-0.871853842,318
2002_1,2002_1_1iayujew,1.047343971,41
2002_1,2002_1_c4x75zkn,0.569247662,90
2002_1,2002_1_kynxfz2h,-2.244798584,367
2002_1,2002_1_n3o4yzto,0.618991971,79
2002_1,2002_1_8acwnm36,-0.152207355,227
2002_1,2002_1_6v0f2yx6,0.990063314,45
2002_1,2002_1_l0tdaiau,-0.184937663,234
2002_1,2002_1_i95zahes,0.58589754,86
2002_1,2002_1_w4mtpoqg,0.25237297,157
2002_1,2002_1_32euk07b,-0.314153127,256
2002_1,2002_1_6th9z46e,-0.13917425,223
2002_1,2002_1_8m76khvh,1.005433816,43
2002_1,2002_1_cpe74jjl,-0.632475936,291
2002_1,2002_1_fs2kogf7,0.330429498,141
2002_1,2002_1_mwzmli87,0.503143621,96
2002_1,2002_1_dqx67fgr,0.698395096,68
2002_1,2002_1_5xpnwtqf,0.346923146,131
2002_1,2002_1_epmzfz5s,-1.428248016,349
2002_1,2002_1_640nfmfw,-0.547379293,285
2002_1,2002_1_2cvudtyy,-0.304398505,255
2002_1,2002_1_f3vn7stu,0.060207499,196
2002_1,2002_1_uxoesuwa,0.382074199,124
2002_1,2002_1_0hbtinsx,-0.587291294,289
2002_1,2002_1_kporavbq,-1.110914009,334
2002_1,2002_1_as9imlxb,2.217022594,10
2002_1,2002_1_gj1zkrir,-0.113847037,219
2002_1,2002_1_8xzjjlf7,0.898215514,53
2002_1,2002_1_0tyleue8,-0.192825384,236
2002_1,2002_1_odr83kt4,0.465652936,105
2002_1,2002_1_ldfcumgn,-0.966212585,325
2002_1,2002_1_zvetpwtg,-0.748001266,306
2002_1,2002_1_s24muh4n,-1.554279857,351
2002_1,2002_1_ocaz4uxy,0.342695585,134
2002_1,2002_1_in6xr6rl,-1.033410325,329
2002_1,2002_1_lhhj3fvb,-2.470827882,369
2002_1,2002_1_f327ec4d,0.499903149,97
2002_1,2002_1_0wsgp4de,1.223897985,30
2002_1,2002_1_gy4cvqqb,-0.926189216,323
2002_1,2002_1_v5z2q2a1,0.312660469,146
2002_1,2002_1_xfxresqn,1.152940848,34
2002_1,2002_1_h8si7zjl,0.437716685,110
2002_1,2002_1_fczhqo4k,-0.202758928,237
2002_1,2002_1_u1s44z9b,0.003808747,206
2002_1,2002_1_z7xjo8r0,-0.044432736,212
2002_1,2002_1_81s9s3r1,0.130278496,186
2002_1,2002_1_vjsggk06,-0.283409079,252
2002_1,2002_1_jtomrpyi,2.261324332,8
2002_1,2002_1_16jp81ea,-1.183363601,340
2002_1,2002_1_c2ty4i39,0.363956366,127
2002_1,2002_1_thjb2qt6,0.085351841,193
2002_1,2002_1_8f34yo3q,0.042818672,199
2002_1,2002_1_7ttd5567,-1.449220648,350
2002_1,2002_1_jedcics6,0.16215982,175
2002_1,2002_1_8nfrpz8e,1.379421803,22
2002_1,2002_1_jw9pvim6,-0.895847492,321
2002_1,2002_1_cqf4k97h,0.402187381,119
2002_1,2002_1_jhx62pq3,0.253130663,156
2002_1,2002_1_3zpjzjd7,-1.020383785,328
2002_1,2002_1_5fjlk7kr,0.473676191,102
2002_1,2002_1_tpb11s0t,-0.209743145,239
2002_1,2002_1_onpovta1,0.495150479,100
2002_1,2002_1_3f8cit1d,0.239853129,159
2002_1,2002_1_0p0ydbtb,0.374158982,125
2002_1,2002_1_qlwxwfv8,-0.229644579,243
2002_1,2002_1_odfpj7pu,-0.711131358,303
2002_1,2002_1_rll633vi,-0.736071851,305
2002_1,2002_1_koxny38f,0.217848309,164
2002_1,2002_1_4dkl5p37,0.169675521,173
2002_1,2002_1_15p0c8u7,1.078926442,38
2002_1,2002_1_vthijwf6,0.772652789,62
2002_1,2002_1_ilth7vim,-3.559293947,376
2002_1,2002_1_nrhmc8y5,0.253182279,155
2002_1,2002_1_kaaydhfz,0.175059673,171
2002_1,2002_1_3qskto22,-0.227841711,241
2002_1,2002_1_xbcqsl1y,-0.264470995,249
2002_1,2002_1_3ganzkqp,1.784804634,13
2002_1,2002_1_wclh7rmi,0.160075986,176
2002_1,2002_1_qt89b7k9,-0.126612117,221
2002_1,2002_1_8jl8oswj,0.997474879,44
2002_1,2002_1_1be8xk5s,0.59793052,81
2002_1,2002_1_6tt9es5b,-0.346586581,260
2002_1,2002_1_jljs3j1u,0.970972569,47
2002_1,2002_1_9dm8og05,-3.040934216,374
2002_1,2002_1_zjz918vr,-0.401061153,262
2002_1,2002_1_dgqcojxl,0.58093474,87
2002_1,2002_1_pehrvgbb,0.144640072,182
2002_1,2002_1_qtoni6ac,0.300601085,148
2002_1,2002_1_iehtndb9,-0.189184539,235
2002_1,2002_1_vkvg8a13,-0.667327851,296
2002_1,2002_1_dhvnq347,-0.764388827,309
2002_1,2002_1_75u9k6o1,-1.699625417,355
2002_1,2002_1_cc0ten99,-0.567674297,287
2002_1,2002_1_9d907edt,0.288993168,149
2002_1,2002_1_c31qos18,1.378162264,23
2002_1,2002_1_s3trvtu1,-0.007941032,209
2002_1,2002_1_y3mpfpon,0.413668564,116
2002_1,2002_1_ck2ak4sk,-1.944663778,361
2002_1,2002_1_4by5j5kh,0.418244881,115
2002_1,2002_1_806b0vrv,0.691420155,71
2002_1,2002_1_dhsiznl8,-0.557342855,286
2002_1,2002_1_c9n8z5js,0.697852337,69
2002_1,2002_1_0t77eh2c,0.257546184,153
2002_1,2002_1_f8zj6gaz,-0.531711081,281
2002_1,2002_1_5sns7na5,1.392324748,21
2002_1,2002_1_o3hs9gdj,-2.068434053,364
2002_1,2002_1_g2lhrikq,0.496709156,98
2002_1,2002_1_jvuvhxi1,0.455866583,106
2002_1,2002_1_yopxnb1c,0.068417525,195
2002_1,2002_1_ezw1j87x,-0.129426431,222
2002_1,2002_1_yv51yv6l,-0.048356877,213
2002_1,2002_1_ncwge6ly,0.312885346,145
2002_1,2002_1_0bw5eviy,0.270571344,151
2002_1,2002_1_9d8z5arc,0.608166912,80
2002_1,2002_1_ggofzze3,0.474386216,101
2002_1,2002_1_z9v2orc2,-0.697731895,301
2002_1,2002_1_o09yywz5,-0.643288816,292
2002_1,2002_1_9mw6yy14,-0.120200106,220
2002_1,2002_1_k3wnkad6,0.022324099,204
2002_1,2002_1_thn95r3c,1.200679819,32
2002_1,2002_1_iiytsvnw,0.092091677,190
2002_1,2002_1_ixdn63gz,-1.104861411,333
2002_1,2002_1_f9xxov1c,1.006605392,42
2002_1,2002_1_gv92cyb9,1.331070332,24
2002_1,2002_1_ia6bphna,0.988081239,46
2002_1,2002_1_5wkbvdyc,-3.031943186,373
2002_1,2002_1_ki78viz8,0.854020387,56
2002_1,2002_1_ois5r7vr,0.411189162,117
2002_1,2002_1_it2t4gli,-0.264242408,248
2002_1,2002_1_vzck7q6h,0.542811145,92
2002_1,2002_1_x1zgnlbg,-0.702438086,302
2002_1,2002_1_ofp37j2c,0.096701771,189
2002_1,2002_1_yok1j4f8,-0.177824381,233
2002_1,2002_1_hd1xvraw,0.586558231,84
2002_1,2002_1_mli7qmsa,0.430698691,112
2002_1,2002_1_q4t7jmin,0.279861227,150
2002_1,2002_1_zfit4658,-0.645277694,293
2002_1,2002_1_7scg9c8h,0.025918704,202
2002_1,2002_1_1d1kts6s,-1.339688308,345
2002_1,2002_1_ka3wm8dj,-0.150876885,226
2002_1,2002_1_6dja2rbw,-0.043095748,211
2002_1,2002_1_jutb6mu9,-1.770626844,358
2002_1,2002_1_bdu77113,-0.757231587,307
2002_1,2002_1_2oechwdz,1.266321451,27
2002_1,2002_1_8njxs2ev,-0.110008813,218
2002_1,2002_1_28o9cc59,0.368405617,126
2002_1,2002_1_mvb23ycr,0.42021787,114
2002_1,2002_1_k5bxhx60,-2.106103375,365
2002_1,2002_1_ci9hkrne,1.904052539,12
2002_1,2002_1_ebf0ze1c,-0.692492555,299
2002_1,2002_1_88nfkfy5,0.495334491,99
2002_2,2002_2_w51ejr6e,1.527915059,30
2002_2,2002_2_7aitidqk,0.14554356,122
2002_2,2002_2_iq3h3gl8,0.201208325,111
2002_2,2002_2_my5lpyfe,0.335601569,89
2002_2,2002_2_4xg4ap4j,-0.315764214,215
2002_2,2002_2_d499l3xo,0.695679647,57
2002_2,2002_2_oe6701he,1.677487372,25
2002_2,2002_2_46a6nsl3,-1.343483283,358
2002_2,2002_2_irl5cruk,-0.750136109,311
2002_2,2002_2_yjgn82mr,-0.803809284,322
2002_2,2002_2_z6p6tojj,-0.543498873,267
2002_2,2002_2_jz67dj02,-1.175302732,347
2002_2,2002_2_1we9pm6m,-0.431204463,248
2002_2,2002_2_st306p43,-0.082380469,172
2002_2,2002_2_6l3o9qmb,0.154690032,118
2002_2,2002_2_0xatmvwu,-0.677629114,291
2002_2,2002_2_sua60laj,1.775485312,24
2002_2,2002_2_549hxufl,0.70126658,56
2002_2,2002_2_1atdzcgj,-1.102690504,342
2002_2,2002_2_qqhpybw6,-0.677971647,292
2002_2,2002_2_qy8qla76,0.119127339,130
2002_2,2002_2_47i5a5bn,0.232580323,105
2002_2,2002_2_glu33e91,-0.496994602,258
2002_2,2002_2_u2oyogj5,0.237604033,104
2002_2,2002_2_i37zihvu,2.602180184,11
2002_2,2002_2_e527taic,0.515810702,70
2002_2,2002_2_lcxw9rpd,-0.422861061,244
2002_2,2002_2_3boxmqpk,-0.942736523,331
2002_2,2002_2_ze1b6u3b,0.937590387,42
2002_2,2002_2_ounet2ek,1.884830486,20
2002_2,2002_2_kuyzrf5h,-0.026229627,161
2002_2,2002_2_3rwetysw,0.094679955,134
2002_2,2002_2_u1y0c79o,-1.073285686,338
2002_2,2002_2_s3gfi14n,-0.460538196,254
2002_2,2002_2_83bwajjj,-0.018692204,157
2002_2,2002_2_uz1xthza,0.147412297,121
2002_2,2002_2_up5bpw6g,0.231837993,106
2002_2,2002_2_2nousqlf,4.102213507,1.5
2002_2,2002_2_6on9g8tu,-0.851035719,324
2002_2,2002_2_m4acewg9,0.216109804,109
2002_2,2002_2_ezspxg3q,0.128631296,128
2002_2,2002_2_kgng5ene,1.851570475,21
2002_2,2002_2_l3621be4,0.361814557,82
2002_2,2002_2_773y67xm,2.69736039,9
2002_2,2002_2_qma9mxvh,-4.217628598,374
2002_2,2002_2_f6bple0g,-0.941166998,330
2002_2,2002_2_kms2e8l5,-0.715174788,301
2002_2,2002_2_jauejf9s,0.134326938,126
2002_2,2002_2_252ybpb1,-1.285196823,354
2002_2,2002_2_wavtfje3,0.930394971,43
2002_2,2002_2_fhveg5hx,1.399030551,35
2002_2,2002_2_jedo0bfg,-1.536997577,365
2002_2,2002_2_in1zeh9e,0.399209898,77
2002_2,2002_2_53v6m3no,0.167584565,116
2002_2,2002_2_j3nklk1b,-0.566937004,269
2002_2,2002_2_y0lsi1gc,0.383101108,80
2002_2,2002_2_guwbyt6w,-0.248030172,199
2002_2,2002_2_pi3eptt4,-0.509140986,263
2002_2,2002_2_204f0rq7,-0.077634714,171
2002_2,2002_2_bs732jen,0.348167995,86
2002_2,2002_2_ikxq3r9j,-0.456529073,253
2002_2,2002_2_kkli2yrp,-0.495317177,257
2002_2,2002_2_1bsi4fon,-0.590722882,275
2002_2,2002_2_0iamc2vw,0.196321936,113
2002_2,2002_2_uof4pd2x,0.419391825,75
2002_2,2002_2_dnj487en,0.328567559,90
2002_2,2002_2_3dzmr6fa,3.223689262,6
2002_2,2002_2_zybdeb6x,-0.35603124,225
2002_2,2002_2_hydxig2r,2.935476151,8
2002_2,2002_2_tszf7pq5,-0.11572478,177
2002_2,2002_2_suxtkono,0.021383591,148
2002_2,2002_2_354cx2q9,0.143657487,124
2002_2,2002_2_iq9zmf9f,-0.430130148,247
2002_2,2002_2_qqkabcr6,-0.358951095,229
2002_2,2002_2_2khvvmmu,-0.133036477,178
2002_2,2002_2_fcdpcih9,-0.30094558,211
2002_2,2002_2_yyukfk97,-1.258050962,351
2002_2,2002_2_akpa9uaj,-1.668440414,367
2002_2,2002_2_0ku8bni9,-0.572093145,271
2002_2,2002_2_gce7izgs,-0.764088752,314
2002_2,2002_2_ftcgn2rt,-0.800016244,321
2002_2,2002_2_wsl02pzx,-0.334795729,217
2002_2,2002_2_b891guhg,0.488448313,73
2002_2,2002_2_0bup1lw9,-0.035058218,162
2002_2,2002_2_per6m6at,-0.142484059,179
2002_2,2002_2_3jqpot34,-0.527419543,265
2002_2,2002_2_ysybs2b7,0.753171322,51
2002_2,2002_2_x6s09pfb,0.290004914,96
2002_2,2002_2_wed799m2,3.941503012,3
2002_2,2002_2_a75k0t4q,-0.608039389,277
2002_2,2002_2_1a578ftr,-1.168572176,345
2002_2,2002_2_ex31q3g3,-1.043565574,337
2002_2,2002_2_kvt6k67a,-0.441086597,250
2002_2,2002_2_7vntaceu,-0.532009145,266
2002_2,2002_2_vxzn0loa,0.274600466,98
2002_2,2002_2_k0d8528t,-1.083680407,339
2002_2,2002_2_e1tqo1e2,2.514057427,14
2002_2,2002_2_r5ydt7wa,0.446275856,74
2002_2,2002_2_0xyslkr3,0.036538535,141
2002_2,2002_2_o22splkt,0.131513528,127
2002_2,2002_2_b49y9v6l,0.062750028,138
2002_2,2002_2_8yh48xl7,-0.721309871,303
2002_2,2002_2_1f6wzvcu,0.036481634,142
2002_2,2002_2_abo6xddq,0.60568787,62
2002_2,2002_2_as2uxuup,2.550968551,12
2002_2,2002_2_py3gwbfy,4.102213507,1.5
2002_2,2002_2_cmao1s4d,1.019635689,40
2002_2,2002_2_t09obavz,0.128604301,129
2002_2,2002_2_tvzb10dn,-0.335390676,218
2002_2,2002_2_kcs3md6t,-0.452368202,252
2002_2,2002_2_ik61vlxm,-0.404977007,240
2002_2,2002_2_bkz10952,-0.413874945,241
2002_2,2002_2_5ch4mk5f,0.340624349,87
2002_2,2002_2_ok6c0cy3,-0.055827413,165
2002_2,2002_2_otc7t846,1.790623808,23
2002_2,2002_2_xcaw8b4y,-0.162993607,185
2002_2,2002_2_k492npc9,-1.721602497,368
2002_2,2002_2_yhhzdhti,-1.241867045,349
2002_2,2002_2_wrto89q8,-1.130167341,344
2002_2,2002_2_4ayw8tlr,-0.012073429,156
2002_2,2002_2_2xr0zwmi,-0.73524736,307
2002_2,2002_2_ucwhvfto,0.386146322,79
2002_2,2002_2_l50jbbf4,-0.663138586,288
2002_2,2002_2_juwtg616,-0.180727287,188
2002_2,2002_2_lhqiqit2,0.015983685,149
2002_2,2002_2_jha6pcdn,-0.662256471,287
2002_2,2002_2_qnbuq8f6,-0.397718023,239
2002_2,2002_2_4rsj20pk,-0.67414943,290
2002_2,2002_2_3n04s4o5,0.056315774,139
2002_2,2002_2_jrg4xn4s,-0.426021773,246
2002_2,2002_2_zijgh7fe,-0.685540915,294
2002_2,2002_2_dsnocekw,0.823380969,48
2002_2,2002_2_irs7qukj,-0.064800436,169
2002_2,2002_2_j75rswhf,-1.264354684,352
2002_2,2002_2_hsx1ukm6,-0.235037357,197
2002_2,2002_2_f80i1z4w,0.356064359,84
2002_2,2002_2_z0alkyym,-0.303021429,212
2002_2,2002_2_ypk7j595,-0.721846059,304
2002_2,2002_2_skvxqp3y,0.17583215,115
2002_2,2002_2_iwv0kmzd,-0.517554261,264
2002_2,2002_2_vuqp0j41,-0.019742434,158
2002_2,2002_2_1r00xzg1,-1.744517575,369
2002_2,2002_2_pxixy45x,0.100981698,132
2002_2,2002_2_v4vje2dv,-0.063847599,168
2002_2,2002_2_cjbgvajp,0.033595523,144
2002_2,2002_2_et3jpffl,1.090291647,38
2002_2,2002_2_xvi2wrur,-1.566835006,366
2002_2,2002_2_npv3ei4d,0.044139082,140
2002_2,2002_2_pxwy2vdc,1.434908499,34
2002_2,2002_2_5d0wcuj1,0.279113043,97
2002_2,2002_2_ge0mxs9l,2.325062257,16
2002_2,2002_2_76r9wz92,-0.691047792,296
2002_2,2002_2_aqyl9o9y,1.336860327,36
2002_2,2002_2_ourqr7x1,-0.176619437,186
2002_2,2002_2_0gsfwbex,0.559328599,65
